model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.5, contamination=auto",Far-OOD,,,0.9898267932269583,0.9944881903354207,0.03951612903225806,-0.04190280219450221,0.9781563633296787,0.9703815261044176,0.9860567930624043,0.9860567930624043,0.07137096774193548,0.9690228441573975,0.9573429126602344,0.9146858253204688,2303,177,82,5799
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.75, contamination=auto",Overall,,,0.9223301849784242,0.9769007121077288,0.44516129032258067,-0.06552088642113374,0.9142274811753383,0.8861815387992537,0.9441066417212348,0.9441066417212348,0.4181451612903226,0.8626722262509064,0.7629807402154561,0.5259614804309123,1443,1037,478,8074
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.75, contamination=auto",Near-OOD,,,0.7675781391529087,0.7544985142468785,0.7233870967741935,-0.06717684476568642,0.7470394736842105,0.666177764740393,0.8502433545488581,0.8502433545488581,0.4588709677419355,0.7014172005435838,0.6956861934034613,0.39137238680692266,1342,1138,400,2271
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=0.75, contamination=auto",Far-OOD,,,0.9926146118445952,0.995931594200441,0.031048387096774193,-0.039736872046006344,0.9806178586542531,0.9762386248736097,0.985036558408434,0.985036558408434,0.05685483870967742,0.9726109317067336,0.9640908598493783,0.9281817196987565,2339,141,88,5793
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=1.0, contamination=auto",Overall,,,0.9166509814719817,0.9754925345722018,0.4991935483870968,-0.07335647994092087,0.9083913314094947,0.8800570112926214,0.9386108512628625,0.9386108512628625,0.4411290322580645,0.8532451051486585,0.7487409095023989,0.497481819004798,1386,1094,525,8027
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=1.0, contamination=auto",Near-OOD,,,0.7529684122172438,0.74460348741326,0.7322580645161291,-0.07711763442073977,0.7347901273384688,0.6333333333333333,0.8749532010482965,0.8749532010482965,0.5455645161290322,0.6724907784896137,0.6646943424596321,0.3293886849192643,1127,1353,334,2337
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=1.0, contamination=auto",Far-OOD,,,0.9909914239952609,0.9955161186437671,0.03669354838709677,-0.050769634174688105,0.9784646567012921,0.9719798657718121,0.985036558408434,0.985036558408434,0.06733870967741935,0.9695012558306423,0.9588489243655073,0.9176978487310146,2313,167,88,5793
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.05",Overall,,,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.02032240791524803,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,0.6053452880292103,0.21069057605842056,604,1876,281,8271
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.05",Near-OOD,,,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.0227932639983085,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,0.5591901818818613,0.11838036376372274,431,2049,148,2523
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.05",Far-OOD,,,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.012210770988498043,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,0.7572429118374646,0.514485823674929,1394,1086,280,5601
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.1",Overall,,,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.017047192551089108,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,0.6053452880292103,0.21069057605842056,604,1876,281,8271
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.1",Near-OOD,,,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.019518048634149576,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,0.5591901818818613,0.11838036376372274,431,2049,148,2523
IsolationForest,negative_decision_function,"n_estimators=200, max_samples=auto, contamination=0.1",Far-OOD,,,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.00893555562433912,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,0.7572429118374646,0.514485823674929,1394,1086,280,5601
